"","Run","LibraryName","BioProject","ScientificName","avgLength","LibraryStrategy","Platform","Sample","LibraryLayout","LibrarySelection"
"57","SRR8549397","Flower-2","PRJNA223222","Capsicum annuum",302,"RNA-Seq","ILLUMINA","SRS4342572","PAIRED","size fractionation"
"58","SRR8549398","Flower-1","PRJNA223222","Capsicum annuum",302,"RNA-Seq","ILLUMINA","SRS4342572","PAIRED","size fractionation"
"59","SRR6122703","PL1-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559089","PAIRED","size fractionation"
"60","SRR6122702","PL1-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559088","PAIRED","size fractionation"
"61","SRR6122701","PL1-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559090","PAIRED","size fractionation"
"62","SRR6122700","PL2-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559091","PAIRED","size fractionation"
"63","SRR6122699","PL2-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559092","PAIRED","size fractionation"
"64","SRR6122698","PL2-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559093","PAIRED","size fractionation"
"65","SRR6122697","PL3-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559094","PAIRED","size fractionation"
"66","SRR6122696","PL3-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559095","PAIRED","size fractionation"
"67","SRR6122695","PL3-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559096","PAIRED","size fractionation"
"68","SRR6122625","PLB-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559166","PAIRED","size fractionation"
"69","SRR6122624","PLB-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559167","PAIRED","size fractionation"
"70","SRR6122619","PLB-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559172","PAIRED","size fractionation"
"71","SRR6122627","PLB10-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559164","PAIRED","size fractionation"
"72","SRR6122626","PLB10-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559165","PAIRED","size fractionation"
"73","SRR6122610","PLB10-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559181","PAIRED","size fractionation"
"74","SRR6122618","PLB5-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559173","PAIRED","size fractionation"
"75","SRR6122621","PLB5-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559170","PAIRED","size fractionation"
"76","SRR6122620","PLB5-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559171","PAIRED","size fractionation"
"77","SRR6122694","PLMG-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559097","PAIRED","size fractionation"
"78","SRR6122623","PLMG-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559168","PAIRED","size fractionation"
"79","SRR6122622","PLMG-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS2559169","PAIRED","size fractionation"
"80","SRR6122611","PR1-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559180","PAIRED","size fractionation"
"81","SRR6122612","PR1-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559179","PAIRED","size fractionation"
"82","SRR6122613","PR1-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559178","PAIRED","size fractionation"
"83","SRR6122614","PR2-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559177","PAIRED","size fractionation"
"84","SRR6122615","PR2-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559176","PAIRED","size fractionation"
